element_id	page_no	position_in_page	self_ref	text50	label
504b6d26ca	1	35	#/texts/35	In this book, we use the	text
d8ceae34dd	1	36	#/texts/36	gte-large-en	code
4dc7390638	1	37	#/texts/37	model hosted on the Databricks Foundation Model AP	text
800c7212c5	1	38	#/texts/38	The code for preparing the dataset, generating tex	text
73ec602e4a	1	39	#/texts/21	Diagram comparing RAG chain and tool-calling agent	caption
00e06ad54d	1	40	#/texts/33	Diagram showing an embedding model converting vari	caption
fca26641a5	1	41	#/texts/39	LangChain and Databricks Integration	title
0b465ee0bb	1	42	#/texts/40	The tool-calling agent, illustrated in the previou	text
de39596e89	1	43	#/texts/41	Figure 4-1	text
613070ecd8	1	44	#/texts/42	, can be built using various libraries designed to	text
9ed69612c6	1	45	#/texts/43	ChatDatabricks	code
438ebfceb3	1	46	#/texts/44	and	text
b0b74167e7	1	47	#/texts/45	VectorSearchRetrieverTool	code
e915dbda07	1	48	#/texts/46	.	text
e93c8508e6	1	49	#/texts/47	To execute the code examples, make sure you have a	text
f4d466b814	1	50	#/texts/48	Use serverless compute attached to a notebook.	list_item
19fb59b85b	1	51	#/texts/49	For simplicity, it is recommended to use a pay-per	list_item
d3bf46554f	1	52	#/texts/50	Establish a Databricks Vector Search endpoint with	list_item
1f4426b19c	1	53	#/texts/51	ChatDatabricks	section_header
11c3ac33ac	1	54	#/texts/52	ChatDatabricks	code
2ca14073d9	1	55	#/texts/53	is a wrapper of LangChain's	text
c1107abb8d	1	56	#/texts/54	ChatModel	code
a66128519f	1	57	#/texts/55	class to query a model endpoint that is hosted on 	text
0e1b6b4982	1	58	#/texts/56	from databricks_langchain import ChatDatabricks	code
f28d4171a2	1	59	#/texts/57		code
b5bd4883ff	1	60	#/texts/58	chat_model = ChatDatabricks ( endpoint = \"databric	code
9f4bf67fa9	1	61	#/texts/59		code
06627e95d8	1	62	#/texts/60	)	code
9c2ea0f001	1	63	#/texts/61		code
c2a884c3ba	1	64	#/texts/62	# Invoke the chat model	code
c1f3cb6e2f	1	65	#/texts/63		code
d13834b6e7	1	66	#/texts/64	print ( chat_model . invoke ( \"How do I book fligh	code
e490300421	1	67	#/texts/65	If the invocation is successful, you should be abl	text
b1704470d6	1	68	#/texts/66	Note	section_header
37c6f0594a	1	69	#/texts/67	temperature	code
d9e1a171fe	1	70	#/texts/68	controls how random or creative an LLM's responses	text
9cb40a7ab1	1	71	#/texts/69	max_tokens	code
1fc8e5190e	1	72	#/texts/70	sets the maximum length of the model's output, lim	text
d41734d19d	1	73	#/texts/71	Databricks Vector Search	section_header
